State Name,City Name,Year,Month,Day of Week,Time of Day,Accident Severity,Number of Vehicles Involved,Vehicle Type Involved,Number of Casualties,Number of Fatalities,Weather Conditions,Road Type,Road Condition,Lighting Conditions,Traffic Control Presence,Speed Limit (km/h),Driver Age,Driver Gender,Driver License Status,Alcohol Involvement,Accident Location Details,severity,hour,month,day_enc,road_type_enc,weather_enc,road_cond_enc,lighting_enc,alcohol,num_vehicles,num_casualties,junction_enc,cause_enc,risk_score,latitude,longitude,highway,state_region
Meghalaya,Unknown,2018,October,Saturday,14:17,Minor,1,Pedestrian,9,1,Rainy,State Highway,Dry,Dark,Police Checkpost,57,29,Female,,No,Intersection,1,14,10,5,1,3,1,0,0,1,9,0,0,4.24,32.25305,77.10401,NH22_Shimla_Manali,Himachal Pradesh
Sikkim,Unknown,2022,March,Sunday,13:41,Minor,4,Car,9,1,Rainy,State Highway,Wet,Dawn,Police Checkpost,53,61,Female,Valid,No,Intersection,1,13,3,6,1,3,3,1,0,4,9,0,0,4.24,16.12397,77.22132,NH44_Hyderabad_Bangalore,Karnataka
Delhi,New Delhi,2020,August,Wednesday,1:50,Fatal,2,Cycle,2,2,Foggy,Village Road,Under Construction,Dusk,Signals,96,26,Male,Valid,Yes,Intersection,3,1,8,2,3,1,2,3,1,2,2,0,0,4.85,20.59067,81.90774,NH30_Patna_Visakhapatnam,Chhattisgarh
West Bengal,Kolkata,2021,May,Wednesday,18:24,Fatal,2,Two-Wheeler,1,4,Clear,State Highway,Damaged,Dawn,Police Checkpost,38,21,Male,Valid,Yes,Curve,3,18,5,2,1,0,0,1,1,2,1,0,0,6.36,20.67565,81.82722,NH30_Patna_Visakhapatnam,Chhattisgarh
Sikkim,Unknown,2021,December,Friday,17:36,Minor,5,Truck,2,4,Rainy,State Highway,Dry,Dark,Police Checkpost,84,45,Male,Expired,Yes,Straight Road,1,17,12,4,1,3,1,0,1,5,2,0,0,5.45,32.42555,77.22353,NH22_Shimla_Manali,Himachal Pradesh
West Bengal,Durgapur,2022,July,Saturday,20:52,Minor,2,Bus,0,4,Hazy,Village Road,Dry,Dark,Police Checkpost,53,65,Male,Expired,Yes,Curve,1,20,7,5,3,2,1,0,1,2,0,0,0,4.85,33.15918,75.497,NH44_North,Jammu & Kashmir
Chhattisgarh,Unknown,2021,May,Friday,16:4,Serious,5,Cycle,5,1,Foggy,National Highway,Dry,Daylight,Signals,45,49,Female,Expired,No,Curve,2,16,5,4,0,1,1,2,0,5,5,0,0,3.64,26.28265,75.30023,NH48_Delhi_Mumbai,Rajasthan / Gujarat
Himachal Pradesh,Unknown,2023,August,Saturday,6:12,Minor,2,Two-Wheeler,2,3,Foggy,National Highway,Dry,Daylight,Signs,49,64,Female,Valid,No,Bridge,1,6,8,5,0,1,1,2,0,2,2,0,0,3.94,18.05441,78.44725,NH44_Nagpur_Hyderabad,Telangana
Uttarakhand,Unknown,2021,December,Friday,16:30,Fatal,1,Pedestrian,7,1,Hazy,Urban Road,Dry,Daylight,,102,61,Female,Expired,Yes,Curve,3,16,12,4,2,2,1,2,1,1,7,0,0,5.45,17.15511,77.29936,NH9_Pune_Hyderabad,Maharashtra / Telangana
Delhi,New Delhi,2018,October,Wednesday,1:9,Serious,3,Cycle,4,4,Hazy,State Highway,Damaged,Dusk,Signals,111,22,Male,,Yes,Bridge,2,1,10,2,1,2,0,3,1,3,4,0,0,6.67,17.67369,78.55523,NH44_Nagpur_Hyderabad,Telangana
Tamil Nadu,Madurai,2020,December,Wednesday,10:20,Serious,3,Two-Wheeler,10,2,Stormy,Urban Road,Damaged,Dark,Signals,90,54,Male,Valid,No,Curve,2,10,12,2,2,4,0,0,0,3,10,0,0,6.06,8.28945,77.27852,NH66_West_Coast,Maharashtra / Kerala
Sikkim,Unknown,2022,January,Sunday,17:3,Serious,4,Pedestrian,9,5,Hazy,State Highway,Wet,Dark,,90,42,Female,,No,Straight Road,2,17,1,6,1,2,3,0,0,4,9,0,0,8.48,19.83143,78.74693,NH44_Nagpur_Hyderabad,Telangana
Sikkim,Unknown,2022,July,Wednesday,18:2,Serious,2,Truck,8,1,Clear,Urban Road,Dry,Dark,,78,22,Male,Valid,No,Curve,2,18,7,2,2,0,1,0,0,2,8,0,0,4.55,17.10981,77.19487,NH9_Pune_Hyderabad,Maharashtra / Telangana
Maharashtra,Pune,2021,April,Thursday,1:39,Fatal,2,Cycle,10,1,Hazy,National Highway,Damaged,Dawn,,112,55,Female,,Yes,Straight Road,3,1,4,3,0,2,0,1,1,2,10,0,0,6.36,14.89854,74.17498,NH66_West_Coast,Maharashtra / Kerala
Goa,Unknown,2018,June,Friday,11:11,Minor,3,Pedestrian,4,2,Stormy,Urban Road,Under Construction,Dark,Signals,46,36,Male,,No,Intersection,1,11,6,4,2,4,2,0,0,3,4,0,0,3.64,27.16689,82.42366,NH27_East_West,Rajasthan / MP / UP
Andhra Pradesh,Tirupati,2023,August,Thursday,18:8,Serious,4,Bus,1,1,Stormy,Village Road,Dry,Dawn,Signs,45,53,Female,Expired,No,Bridge,2,18,8,3,3,4,1,1,0,4,1,0,0,2.42,21.70531,69.54494,NH27_East_West,Rajasthan / MP / UP
Puducherry,Unknown,2022,July,Friday,19:23,Minor,1,Truck,9,0,Foggy,Village Road,Dry,Dawn,Signals,78,40,Male,Expired,Yes,Intersection,1,19,7,4,3,1,1,1,1,1,9,0,0,3.94,15.93889,77.1415,NH44_Hyderabad_Bangalore,Karnataka
Meghalaya,Unknown,2020,March,Thursday,19:29,Serious,1,Two-Wheeler,10,2,Foggy,State Highway,Under Construction,Dark,,119,27,Female,Expired,Yes,Curve,2,19,3,3,1,1,2,0,1,1,10,0,0,6.67,23.87835,79.12494,NH44_Agra_Nagpur,Madhya Pradesh
Telangana,Unknown,2023,November,Thursday,0:7,Serious,5,Pedestrian,6,3,Rainy,Urban Road,Wet,Dusk,Police Checkpost,37,60,Female,,Yes,Curve,2,0,11,3,2,3,3,3,1,5,6,0,0,6.36,23.08714,72.57383,NH27_East_West,Rajasthan / MP / UP
Tamil Nadu,Madurai,2020,June,Saturday,21:55,Serious,1,Truck,3,1,Foggy,Urban Road,Wet,Daylight,,58,70,Male,,Yes,Straight Road,2,21,6,5,2,1,3,2,1,1,3,0,0,3.64,22.98164,79.51494,NH44_Agra_Nagpur,Madhya Pradesh
Mizoram,Unknown,2020,July,Wednesday,23:44,Serious,1,Cycle,7,4,Rainy,State Highway,Wet,Dark,Signals,109,60,Male,Valid,No,Curve,2,23,7,2,1,3,3,0,0,1,7,0,0,6.97,17.74207,83.27024,NH16_Kolkata_Chennai,Odisha / Andhra Pradesh
Andhra Pradesh,Visakhapatnam,2018,December,Friday,0:27,Minor,4,Auto-Rickshaw,1,5,Foggy,Village Road,Wet,Dark,Signals,86,51,Female,Valid,Yes,Straight Road,1,0,12,4,3,1,3,0,1,4,1,0,0,6.06,32.23733,74.92335,NH44_North,Jammu & Kashmir
Uttar Pradesh,Varanasi,2023,July,Saturday,8:58,Minor,1,Pedestrian,1,3,Foggy,Urban Road,Wet,Dawn,,30,59,Male,Valid,Yes,Bridge,1,8,7,5,2,1,3,1,1,1,1,0,0,4.24,12.07503,78.40264,NH44_Bangalore_Chennai,Tamil Nadu
Chandigarh,Unknown,2018,April,Wednesday,9:55,Minor,5,Pedestrian,9,2,Foggy,Urban Road,Damaged,Daylight,,81,54,Male,,No,Straight Road,1,9,4,2,2,1,0,2,0,5,9,0,0,5.15,9.46469,77.29659,NH66_West_Coast,Maharashtra / Kerala
Mizoram,Unknown,2023,February,Sunday,16:59,Minor,2,Bus,2,2,Foggy,Urban Road,Damaged,Dusk,Police Checkpost,56,60,Female,,Yes,Curve,1,16,2,6,2,1,0,3,1,2,2,0,0,3.64,27.45355,78.23493,NH19_Delhi_Kolkata,Uttar Pradesh / Bihar
Odisha,Unknown,2022,September,Tuesday,8:8,Fatal,4,Car,6,3,Rainy,Urban Road,Wet,Daylight,Signs,53,40,Female,,Yes,Bridge,3,8,9,1,2,3,3,2,1,4,6,0,0,6.97,27.43981,76.47653,NH48_Delhi_Mumbai,Rajasthan / Gujarat
Telangana,Unknown,2018,December,Sunday,18:0,Minor,3,Bus,8,2,Clear,State Highway,Under Construction,Daylight,,114,46,Female,Expired,Yes,Intersection,1,18,12,6,1,0,2,2,1,3,8,0,0,5.45,30.78666,79.58323,NH58_Delhi_Badrinath,Uttarakhand
Karnataka,Bangalore,2021,October,Friday,13:8,Minor,1,Pedestrian,2,3,Stormy,Urban Road,Dry,Dawn,Signs,97,37,Male,Expired,No,Straight Road,1,13,10,4,2,4,1,1,0,1,2,0,0,3.94,30.4189,79.48468,NH58_Delhi_Badrinath,Uttarakhand
Chhattisgarh,Unknown,2022,January,Saturday,16:40,Serious,1,Car,8,2,Hazy,Village Road,Wet,Dawn,,109,51,Female,Expired,No,Intersection,2,16,1,5,3,2,3,1,0,1,8,0,0,5.45,19.4608,81.2397,NH30_Patna_Visakhapatnam,Chhattisgarh
Kerala,Unknown,2023,July,Saturday,7:11,Serious,4,Cycle,2,0,Rainy,National Highway,Dry,Dawn,,96,66,Male,,Yes,Curve,2,7,7,5,0,3,1,1,1,4,2,0,0,2.42,26.95158,75.83977,NH48_Delhi_Mumbai,Rajasthan / Gujarat
Madhya Pradesh,Unknown,2018,August,Thursday,11:19,Minor,4,Cycle,0,4,Hazy,Urban Road,Dry,Daylight,Signals,46,63,Female,Valid,Yes,Bridge,1,11,8,3,2,2,1,2,1,4,0,0,0,4.85,25.48435,78.52874,NH44_Agra_Nagpur,Madhya Pradesh
Delhi,Rohini,2018,May,Saturday,19:26,Serious,4,Bus,0,1,Rainy,State Highway,Wet,Daylight,Signs,30,52,Female,,Yes,Bridge,2,19,5,5,1,3,3,2,1,4,0,0,0,2.73,18.47302,73.82737,NH9_Pune_Hyderabad,Maharashtra / Telangana
Puducherry,Unknown,2023,February,Saturday,23:48,Minor,3,Two-Wheeler,6,5,Stormy,Village Road,Under Construction,Dusk,Police Checkpost,55,68,Female,Valid,No,Bridge,1,23,2,5,3,4,2,3,0,3,6,0,0,6.97,13.6983,77.45621,NH44_Hyderabad_Bangalore,Karnataka
Gujarat,Vadodara,2021,April,Sunday,21:9,Fatal,3,Cycle,3,1,Stormy,Urban Road,Dry,Daylight,Police Checkpost,47,49,Female,,Yes,Straight Road,3,21,4,6,2,4,1,2,1,3,3,0,0,4.24,27.42948,77.74404,NH44_Delhi_Agra,Uttar Pradesh
Delhi,Dwarka,2021,October,Wednesday,5:12,Serious,5,Two-Wheeler,8,4,Foggy,Village Road,Damaged,Daylight,,72,19,Female,Expired,No,Intersection,2,5,10,2,3,1,0,2,0,5,8,0,0,7.27,29.25192,77.95165,NH58_Delhi_Badrinath,Uttarakhand
West Bengal,Siliguri,2022,March,Sunday,7:43,Minor,5,Pedestrian,6,0,Rainy,Village Road,Under Construction,Dark,Signals,41,43,Male,Expired,Yes,Curve,1,7,3,6,3,3,2,0,1,5,6,0,0,3.03,26.82084,78.20427,NH44_Agra_Nagpur,Madhya Pradesh
West Bengal,Kolkata,2020,April,Thursday,7:27,Minor,3,Two-Wheeler,8,0,Hazy,National Highway,Damaged,Dark,Police Checkpost,77,39,Female,Valid,No,Bridge,1,7,4,3,0,2,0,0,0,3,8,0,0,3.03,12.8949,77.66828,NH44_Bangalore_Chennai,Tamil Nadu
Bihar,Unknown,2023,December,Monday,1:50,Serious,2,Bus,10,1,Hazy,State Highway,Wet,Dusk,Signs,116,55,Male,,No,Intersection,2,1,12,0,1,2,3,3,0,2,10,0,0,5.15,32.39557,77.27373,NH22_Shimla_Manali,Himachal Pradesh
Maharashtra,Pune,2022,April,Monday,17:33,Minor,3,Pedestrian,7,1,Rainy,State Highway,Wet,Dark,Police Checkpost,78,42,Male,Valid,Yes,Intersection,1,17,4,0,1,3,3,0,1,3,7,0,0,4.24,13.14896,77.54354,NH44_Hyderabad_Bangalore,Karnataka
Mizoram,Unknown,2023,April,Sunday,23:14,Fatal,1,Two-Wheeler,4,5,Stormy,National Highway,Dry,Dawn,Police Checkpost,46,66,Female,Valid,Yes,Bridge,3,23,4,6,0,4,1,1,1,1,4,0,0,8.18,27.1634,78.01249,NH44_Delhi_Agra,Uttar Pradesh
Jharkhand,Unknown,2020,August,Thursday,0:49,Minor,1,Bus,1,0,Stormy,Urban Road,Under Construction,Daylight,,86,53,Female,Expired,Yes,Bridge,1,0,8,3,2,4,2,2,1,1,1,0,0,1.52,21.47452,82.41386,NH30_Patna_Visakhapatnam,Chhattisgarh
Jammu and Kashmir,Unknown,2020,March,Monday,6:1,Minor,3,Bus,2,1,Hazy,National Highway,Dry,Daylight,Signals,87,61,Female,,Yes,Intersection,1,6,3,0,0,2,1,2,1,3,2,0,0,2.73,19.0449,72.84568,NH48_Delhi_Mumbai,Rajasthan / Gujarat
Arunachal Pradesh,Unknown,2020,July,Friday,13:31,Minor,4,Car,8,2,Clear,Urban Road,Damaged,Dawn,Signals,110,70,Male,Valid,No,Intersection,1,13,7,4,2,0,0,1,0,4,8,0,0,4.85,24.16561,84.53602,NH19_Delhi_Kolkata,Uttar Pradesh / Bihar
Bihar,Unknown,2020,December,Monday,5:34,Serious,5,Cycle,4,2,Hazy,Urban Road,Wet,Daylight,Police Checkpost,43,40,Female,Expired,No,Curve,2,5,12,0,2,2,3,2,0,5,4,0,0,4.24,24.94189,82.40186,NH7_Varanasi_Kanyakumari,MP / Karnataka / TN
Rajasthan,Udaipur,2023,June,Tuesday,7:25,Fatal,4,Cycle,5,2,Foggy,Urban Road,Dry,Dawn,,64,67,Male,Valid,No,Bridge,3,7,6,1,2,1,1,1,0,4,5,0,0,5.15,26.87757,75.80051,NH48_Delhi_Mumbai,Rajasthan / Gujarat
Gujarat,Ahmedabad,2022,December,Friday,11:41,Fatal,3,Auto-Rickshaw,3,2,Foggy,Urban Road,Damaged,Dark,Signals,117,57,Female,Expired,Yes,Curve,3,11,12,4,2,1,0,0,1,3,3,0,0,5.15,21.13067,79.056,NH44_Nagpur_Hyderabad,Telangana
Maharashtra,Pune,2019,February,Saturday,17:31,Minor,5,Car,10,2,Rainy,National Highway,Under Construction,Daylight,,60,38,Female,Expired,No,Intersection,1,17,2,5,0,3,2,2,0,5,10,0,0,5.45,21.17862,79.1073,NH44_Nagpur_Hyderabad,Telangana
Gujarat,Surat,2021,June,Saturday,1:42,Fatal,3,Two-Wheeler,9,0,Clear,Urban Road,Wet,Dawn,,37,63,Female,Expired,No,Bridge,3,1,6,5,2,0,3,1,0,3,9,0,0,4.55,24.2996,75.89051,NH27_East_West,Rajasthan / MP / UP
West Bengal,Kolkata,2021,December,Thursday,8:32,Serious,4,Truck,5,1,Stormy,Village Road,Dry,Dawn,Police Checkpost,100,61,Male,Expired,No,Curve,2,8,12,3,3,4,1,1,0,4,5,0,0,3.64,27.73957,77.50157,NH44_Delhi_Agra,Uttar Pradesh
Maharashtra,Pune,2022,February,Wednesday,11:27,Fatal,5,Car,6,2,Stormy,State Highway,Wet,Dawn,,44,36,Female,Expired,Yes,Intersection,3,11,2,2,1,4,3,1,1,5,6,0,0,6.06,19.08987,72.89431,NH48_Delhi_Mumbai,Rajasthan / Gujarat
Meghalaya,Unknown,2021,November,Wednesday,19:51,Fatal,3,Truck,0,3,Rainy,State Highway,Dry,Dark,Signals,98,24,Female,,No,Straight Road,3,19,11,2,1,3,1,0,0,3,0,0,0,4.55,16.58612,73.2991,NH48_Mumbai_Bangalore,Maharashtra / Karnataka
Tamil Nadu,Madurai,2020,January,Thursday,19:22,Minor,1,Pedestrian,2,2,Hazy,Village Road,Dry,Dark,,114,64,Female,,Yes,Straight Road,1,19,1,3,3,2,1,0,1,1,2,0,0,3.64,20.5601,79.01109,NH44_Nagpur_Hyderabad,Telangana
Andhra Pradesh,Visakhapatnam,2020,December,Thursday,9:48,Minor,4,Auto-Rickshaw,10,1,Stormy,State Highway,Wet,Daylight,,80,40,Male,,Yes,Bridge,1,9,12,3,1,4,3,2,1,4,10,0,0,5.15,24.20195,89.24767,NH52_Barasat_Guwahati,West Bengal / Assam
Goa,Unknown,2019,November,Wednesday,21:30,Serious,3,Car,8,2,Stormy,State Highway,Wet,Daylight,,114,33,Female,Valid,No,Bridge,2,21,11,2,1,4,3,2,0,3,8,0,0,5.45,31.05039,77.15987,NH22_Shimla_Manali,Himachal Pradesh
Puducherry,Unknown,2021,March,Thursday,11:52,Minor,5,Two-Wheeler,2,5,Hazy,State Highway,Damaged,Dusk,Signs,30,27,Female,Valid,Yes,Curve,1,11,3,3,1,2,0,3,1,5,2,0,0,6.36,13.26711,77.50962,NH48_Mumbai_Bangalore,Maharashtra / Karnataka
Punjab,Unknown,2022,November,Tuesday,9:44,Fatal,2,Two-Wheeler,7,0,Foggy,State Highway,Damaged,Dawn,,94,22,Male,Expired,Yes,Bridge,3,9,11,1,1,1,0,1,1,2,7,0,0,4.55,18.14053,78.4383,NH44_Nagpur_Hyderabad,Telangana
Jharkhand,Unknown,2020,June,Thursday,22:16,Serious,1,Bus,8,2,Foggy,Village Road,Dry,Dark,,120,56,Male,Valid,No,Straight Road,2,22,6,3,3,1,1,0,0,1,8,0,0,5.45,28.44616,77.21961,NH44_Delhi_Agra,Uttar Pradesh
Odisha,Unknown,2019,September,Monday,16:12,Serious,4,Bus,6,5,Hazy,Urban Road,Under Construction,Daylight,Signs,44,68,Female,Expired,Yes,Straight Road,2,16,9,0,2,2,2,2,1,4,6,0,0,8.18,19.29555,78.50387,NH44_Nagpur_Hyderabad,Telangana
Telangana,Unknown,2022,March,Sunday,9:30,Serious,3,Auto-Rickshaw,10,2,Stormy,Village Road,Dry,Dawn,Signs,82,60,Male,,No,Bridge,2,9,3,6,3,4,1,1,0,3,10,0,0,6.06,10.7454,76.25814,NH66_West_Coast,Maharashtra / Kerala
Goa,Unknown,2019,April,Thursday,5:36,Fatal,1,Pedestrian,0,1,Hazy,National Highway,Wet,Dusk,Signals,106,36,Female,Valid,Yes,Bridge,3,5,4,3,0,2,3,3,1,1,0,0,0,3.33,25.33473,83.041,NH7_Varanasi_Kanyakumari,MP / Karnataka / TN
Kerala,Unknown,2019,March,Friday,15:33,Minor,2,Pedestrian,7,5,Rainy,National Highway,Dry,Dusk,,38,46,Female,,Yes,Bridge,1,15,3,4,0,3,1,3,1,2,7,0,0,7.88,12.15777,78.51404,NH44_Bangalore_Chennai,Tamil Nadu
Odisha,Unknown,2018,March,Monday,5:31,Minor,3,Car,1,1,Clear,Urban Road,Under Construction,Daylight,Signals,33,62,Male,Valid,No,Bridge,1,5,3,0,2,0,2,2,0,3,1,0,0,1.82,26.83582,80.96528,NH19_Delhi_Kolkata,Uttar Pradesh / Bihar
Tamil Nadu,Coimbatore,2020,December,Saturday,13:54,Fatal,3,Bus,8,4,Hazy,Village Road,Damaged,Dusk,,80,68,Male,Valid,Yes,Curve,3,13,12,5,3,2,0,3,1,3,8,0,0,8.48,32.50608,74.99356,NH44_North,Jammu & Kashmir
Andhra Pradesh,Visakhapatnam,2022,November,Tuesday,13:7,Fatal,5,Auto-Rickshaw,10,5,Stormy,State Highway,Under Construction,Dark,Signs,105,35,Female,Valid,No,Intersection,3,13,11,1,1,4,2,0,0,5,10,0,0,9.39,21.48597,87.17679,NH16_Kolkata_Chennai,Odisha / Andhra Pradesh
Kerala,Unknown,2018,October,Wednesday,14:56,Serious,2,Truck,8,2,Foggy,Village Road,Dry,Dusk,,101,62,Male,,Yes,Curve,2,14,10,2,3,1,1,3,1,2,8,0,0,6.06,17.591,78.62461,NH44_Nagpur_Hyderabad,Telangana
Andhra Pradesh,Tirupati,2021,April,Monday,6:26,Minor,5,Pedestrian,4,4,Stormy,Village Road,Under Construction,Daylight,Signs,106,36,Female,Expired,No,Intersection,1,6,4,0,3,4,2,2,0,5,4,0,0,5.45,34.04302,74.76491,NH44_North,Jammu & Kashmir
Nagaland,Unknown,2021,August,Sunday,16:13,Minor,5,Bus,1,2,Hazy,State Highway,Damaged,Dark,Signs,55,24,Male,,No,Straight Road,1,16,8,6,1,2,0,0,0,5,1,0,0,2.73,17.36468,78.47647,NH44_Nagpur_Hyderabad,Telangana
Goa,Unknown,2021,September,Sunday,7:29,Minor,5,Auto-Rickshaw,8,5,Clear,State Highway,Wet,Dark,Signals,36,33,Male,,No,Curve,1,7,9,6,1,0,3,0,0,5,8,0,0,7.58,21.1692,79.03036,NH44_Nagpur_Hyderabad,Telangana
Tamil Nadu,Coimbatore,2021,April,Monday,11:23,Minor,2,Truck,7,0,Stormy,Urban Road,Wet,Dusk,,30,39,Female,Valid,No,Straight Road,1,11,4,0,2,4,3,3,0,2,7,0,0,2.73,13.5099,77.43966,NH7_Varanasi_Kanyakumari,MP / Karnataka / TN
Chhattisgarh,Unknown,2020,April,Tuesday,2:23,Minor,3,Car,5,4,Rainy,State Highway,Wet,Daylight,Signs,49,50,Female,Expired,Yes,Intersection,1,2,4,1,1,3,3,2,1,3,5,0,0,6.36,22.61215,88.34964,NH19_Delhi_Kolkata,Uttar Pradesh / Bihar
Arunachal Pradesh,Unknown,2023,May,Friday,8:34,Minor,1,Pedestrian,2,4,Rainy,State Highway,Under Construction,Dusk,Police Checkpost,77,66,Male,,Yes,Straight Road,1,8,5,4,1,3,2,3,1,1,2,0,0,5.45,24.90931,77.237,NH27_East_West,Rajasthan / MP / UP
Sikkim,Unknown,2018,October,Saturday,13:27,Fatal,2,Cycle,5,1,Hazy,State Highway,Dry,Dusk,Police Checkpost,81,68,Female,,Yes,Bridge,3,13,10,5,1,2,1,3,1,2,5,0,0,4.85,28.30285,77.12687,NH44_Delhi_Agra,Uttar Pradesh
Mizoram,Unknown,2020,February,Thursday,20:53,Minor,4,Cycle,3,2,Rainy,State Highway,Under Construction,Daylight,Signs,83,48,Female,Valid,No,Intersection,1,20,2,3,1,3,2,2,0,4,3,0,0,3.33,21.42364,82.43758,NH30_Patna_Visakhapatnam,Chhattisgarh
Delhi,Rohini,2020,March,Saturday,15:3,Serious,3,Auto-Rickshaw,1,5,Clear,State Highway,Dry,Dawn,Signals,97,46,Female,,No,Straight Road,2,15,3,5,1,0,1,1,0,3,1,0,0,6.06,18.4559,73.89423,NH9_Pune_Hyderabad,Maharashtra / Telangana
Telangana,Unknown,2022,March,Sunday,16:33,Minor,1,Pedestrian,6,2,Hazy,Urban Road,Dry,Dusk,Signs,76,18,Female,Expired,No,Straight Road,1,16,3,6,2,2,1,3,0,1,6,0,0,4.24,23.67331,73.28071,NH48_Delhi_Mumbai,Rajasthan / Gujarat
Arunachal Pradesh,Unknown,2019,November,Sunday,20:56,Serious,2,Pedestrian,3,2,Clear,National Highway,Wet,Daylight,Signals,50,54,Male,Expired,Yes,Bridge,2,20,11,6,0,0,3,2,1,2,3,0,0,4.55,28.25491,77.93708,NH19_Delhi_Kolkata,Uttar Pradesh / Bihar
Uttar Pradesh,Lucknow,2020,November,Tuesday,8:12,Minor,1,Pedestrian,9,4,Clear,Village Road,Dry,Daylight,Signs,75,61,Male,Valid,No,Curve,1,8,11,1,3,0,1,2,0,1,9,0,0,6.97,28.31301,77.20791,NH44_Delhi_Agra,Uttar Pradesh
Jharkhand,Unknown,2021,May,Monday,2:14,Serious,3,Truck,3,4,Stormy,Urban Road,Wet,Dawn,Signs,75,68,Female,,No,Straight Road,2,2,5,0,2,4,3,1,0,3,3,0,0,5.76,25.42815,89.98737,NH52_Barasat_Guwahati,West Bengal / Assam
Sikkim,Unknown,2023,October,Sunday,6:39,Minor,3,Auto-Rickshaw,1,2,Rainy,State Highway,Dry,Dark,Police Checkpost,58,67,Male,,No,Bridge,1,6,10,6,1,3,1,0,0,3,1,0,0,2.73,27.34596,77.6934,NH44_Delhi_Agra,Uttar Pradesh
Assam,Unknown,2020,March,Tuesday,3:5,Minor,5,Pedestrian,2,2,Stormy,National Highway,Damaged,Dawn,Police Checkpost,45,30,Female,,Yes,Straight Road,1,3,3,1,0,4,0,1,1,5,2,0,0,3.64,16.11035,77.25572,NH44_Hyderabad_Bangalore,Karnataka
Kerala,Unknown,2023,February,Sunday,19:40,Fatal,3,Two-Wheeler,0,1,Hazy,Village Road,Wet,Dark,,75,63,Male,Expired,Yes,Curve,3,19,2,6,3,2,3,0,1,3,0,0,0,3.33,18.06866,78.4583,NH44_Nagpur_Hyderabad,Telangana
Uttar Pradesh,Varanasi,2022,September,Saturday,15:44,Serious,2,Cycle,0,0,Clear,National Highway,Dry,Dark,,92,40,Female,Valid,Yes,Curve,2,15,9,5,0,0,1,0,1,2,0,0,0,1.82,23.02155,83.48688,NH30_Patna_Visakhapatnam,Chhattisgarh
Karnataka,Bangalore,2022,December,Thursday,20:14,Minor,1,Two-Wheeler,5,3,Stormy,Village Road,Wet,Dusk,,76,42,Male,,No,Bridge,1,20,12,3,3,4,3,3,0,1,5,0,0,4.85,29.17946,77.95749,NH58_Delhi_Badrinath,Uttarakhand
Puducherry,Unknown,2021,August,Saturday,11:52,Minor,5,Pedestrian,4,4,Stormy,Village Road,Wet,Dawn,Signs,100,40,Female,Expired,Yes,Bridge,1,11,8,5,3,4,3,1,1,5,4,0,0,6.06,12.88347,79.84168,NH44_Bangalore_Chennai,Tamil Nadu
Telangana,Unknown,2023,May,Monday,13:6,Serious,1,Auto-Rickshaw,3,5,Rainy,Village Road,Damaged,Dark,Police Checkpost,55,45,Female,Expired,Yes,Bridge,2,13,5,0,3,3,0,0,1,1,3,0,0,7.27,11.20709,75.93393,NH66_West_Coast,Maharashtra / Kerala
Kerala,Unknown,2020,February,Monday,8:52,Fatal,2,Bus,2,2,Stormy,National Highway,Under Construction,Dawn,,105,32,Female,Valid,No,Intersection,3,8,2,0,0,4,2,1,0,2,2,0,0,4.24,23.00551,80.43829,NH7_Varanasi_Kanyakumari,MP / Karnataka / TN
Gujarat,Surat,2022,March,Monday,16:36,Minor,5,Two-Wheeler,6,2,Hazy,National Highway,Wet,Dark,Signals,100,26,Female,Expired,No,Straight Road,1,16,3,0,0,2,3,0,0,5,6,0,0,4.24,16.98661,78.4015,NH44_Hyderabad_Bangalore,Karnataka
Odisha,Unknown,2021,June,Thursday,16:41,Serious,5,Bus,5,2,Rainy,Urban Road,Under Construction,Daylight,,82,70,Female,Expired,Yes,Curve,2,16,6,3,2,3,2,2,1,5,5,0,0,5.15,27.68044,77.51914,NH44_Delhi_Agra,Uttar Pradesh
Delhi,Dwarka,2023,October,Tuesday,0:28,Serious,1,Car,10,5,Hazy,Village Road,Damaged,Daylight,Police Checkpost,115,56,Female,,Yes,Intersection,2,0,10,1,3,2,0,2,1,1,10,0,0,9.39,31.50981,77.21227,NH22_Shimla_Manali,Himachal Pradesh
Goa,Unknown,2020,February,Saturday,8:30,Fatal,5,Auto-Rickshaw,9,3,Rainy,Urban Road,Dry,Dawn,Signs,114,57,Female,Valid,No,Straight Road,3,8,2,5,2,3,1,1,0,5,9,0,0,7.27,24.16586,84.51443,NH19_Delhi_Kolkata,Uttar Pradesh / Bihar
Gujarat,Surat,2018,April,Saturday,6:18,Minor,3,Bus,1,5,Stormy,State Highway,Under Construction,Dark,Signs,31,40,Male,Valid,Yes,Curve,1,6,4,5,1,4,2,0,1,3,1,0,0,6.06,25.2901,83.03415,NH19_Delhi_Kolkata,Uttar Pradesh / Bihar
Nagaland,Unknown,2019,March,Saturday,2:10,Fatal,3,Cycle,8,0,Stormy,Village Road,Wet,Dark,Police Checkpost,46,62,Male,Expired,No,Curve,3,2,3,5,3,4,3,0,0,3,8,0,0,4.24,17.64415,78.60069,NH44_Nagpur_Hyderabad,Telangana
